temp,users
0.368,1603
0.700,768
0.282,424
0.335,231
0.398,663
0.562,438
0.128,73
0.628,555
0.421,2290
0.362,538
0.779,606
0.447,819
0.396,394
0.649,863
0.221,64
0.533,1319
0.650,2512
0.636,1026
0.331,456
0.664,1198
0.756,1196
0.599,1050
0.635,863
0.459,614
0.635,1869
0.299,706
0.267,137
0.324,767
0.401,410
0.216,439
0.547,939
0.275,502
0.330,314
0.408,376
0.514,3155
0.776,676
0.303,195
0.721,1017
0.575,620
0.477,655
0.299,255
0.486,325
0.370,796
0.765,846
0.327,1156
0.365,321
0.571,1514
0.413,518
0.227,82
0.716,1065
0.546,1182
0.494,834
0.554,3031
0.204,88
0.604,1576
0.688,968
0.578,773
0.397,120
0.180,333
0.468,922
0.097,150
0.487,830
0.484,486
0.543,217
0.635,480
0.353,246
0.281,243
0.541,2397
0.291,317
0.775,907
0.544,841
0.342,139
0.338,599
0.452,1138
0.347,203
0.393,212
0.161,54
0.602,2469
0.254,247
0.298,951
0.755,815
0.296,425
0.680,226
0.167,284
0.498,846
0.353,282
0.436,548
0.554,1027
0.765,1455
0.663,1318
0.762,723
0.620,547
0.716,1032
0.266,205
0.604,727
0.457,1558
0.176,117
0.384,640
0.217,115
0.296,326
0.431,121
0.603,2494
0.343,922
0.376,1249
0.238,143
0.527,2015
0.281,227
0.834,829
0.573,734
0.743,2551
0.411,447
0.264,300
0.362,709
0.422,181
0.667,2544
0.424,2301
0.747,841
0.708,758
0.280,618
0.775,673
0.750,1263
0.135,53
0.782,872
0.568,653
0.440,2
0.818,921
0.329,943
0.653,1633
0.562,760
0.593,2634
0.411,433
0.302,155
0.317,247
0.196,120
0.410,50
0.767,884
0.485,1097
0.682,871
0.534,713
0.639,775
0.217,140
0.662,1829
0.607,773
0.654,533
0.622,766
0.243,9
0.653,1483
0.680,1920
0.697,1807
0.318,178
0.383,269
0.635,787
0.484,2806
0.580,2166
0.746,1920
0.733,1988
0.562,678
0.554,1334
0.697,611
0.644,690
0.383,874
0.532,637
0.374,534
0.578,1070
0.711,1249
0.187,61
0.300,168
0.415,208
0.266,150
0.198,123
0.298,362
0.777,752
0.243,203
0.269,126
0.472,695
0.317,289
0.282,558
0.716,1139
0.581,1022
0.753,2352
0.703,1045
0.717,1521
0.732,2657
0.703,989
0.279,515
0.531,735
0.772,729
0.659,1557
0.737,832
0.355,618
0.641,1281
0.296,191
0.223,186
0.373,127
0.711,1023
0.532,694
0.375,178
0.337,177
0.628,545
0.775,755
0.573,997
0.828,1366
0.357,616
0.613,1054
0.736,1278
0.711,2708
0.507,1899
0.495,2795
0.441,112
0.549,847
0.615,819
0.723,668
0.532,1122
0.618,569
0.489,905
0.217,34
0.459,745
0.733,1549
0.715,736
0.653,477
0.403,1807
0.537,909
0.507,1353
0.463,787
0.522,1008
0.540,204
0.446,795
0.348,141
0.262,83
0.375,1095
0.463,699
0.637,477
0.666,775
0.414,167
0.657,745
0.522,2235
0.551,529
0.701,2182
0.343,327
0.561,1051
0.727,3065
0.393,1070
0.591,315
0.297,310
0.384,330
0.345,484
0.738,2204
0.260,72
0.442,460
0.403,470
0.173,25
0.317,397
0.264,222
0.286,354
0.407,81
0.189,149
0.317,74
0.763,1088
0.838,670
0.667,2355
0.723,1483
0.414,255
0.756,2234
0.343,879
0.274,174
0.542,550
0.097,86
0.542,2589
0.711,998
0.334,307
0.690,3283
0.190,130
0.815,632
0.107,95
0.823,1203
0.697,2613
0.218,145
0.476,471
0.673,647
0.685,1177
0.719,2006
0.391,413
0.438,331
0.699,1639
0.793,2345
0.378,370
0.703,2355
0.224,106
0.701,721
0.660,659
0.697,1027
0.535,695
0.292,123
0.436,259
0.448,220
0.849,987
0.266,981
0.550,845
0.770,888
0.708,1965
0.313,310
0.315,898
0.285,166
0.258,221
0.472,1965
0.542,254
0.343,694
0.274,245
0.578,428
0.246,309
0.472,2207
0.223,288
0.610,2570
0.343,439
0.314,268
0.410,480
0.560,764
0.789,2562
0.222,139
0.325,1313
0.532,664
0.197,123
0.717,2282
0.542,1058
0.680,1417
0.281,466
0.764,513
0.643,875
0.698,1077
0.749,921
0.521,763
0.609,258
0.512,1748
0.359,229
0.656,2001
0.464,2132
0.682,854
0.427,1188
0.502,1033
0.404,432
0.632,678
0.325,359
0.806,778
0.352,340
0.333,333
0.724,969
0.302,317
0.828,1405
0.613,653
0.256,340
0.324,440
0.469,304
0.696,1363
0.608,989
0.329,724
0.667,1094
0.538,559
0.231,174
0.151,41
0.322,430
0.382,1153
0.794,662
0.599,1250
0.732,1511
0.322,320
